5e8da49a9f161600121b4ed9,118,
project_16001,276,2/01/1970
project_15347,144,1/01/2020
project_4271,75,31/12/2007
project_12095,145,2/01/1970
project_2650,844,30/11/2016
project_6371,160,31/12/1989
project_4054,47,2/01/1970
project_12235,107,2/01/1970
project_8105,76,31/12/2011
project_7455,68,2/01/1970
project_8324,126,31/12/2004
62722a9654ecb2001607570d,98,
project_4713,291,2/01/1970
61cadbcef9089f0018da0333,410,1/01/2023
project_12617,70,2/01/1970
project_2209,86,2/01/2019
project_6773,184,2/01/1970
project_4152,72,2/01/1970
project_2937,298,31/01/2018
project_3333,60,31/12/2017
project_16407,586,2/01/1970
6270b57b54ecb200160756ef,51,1/01/2003
project_9129,93,31/12/2014
project_13657,67,31/12/2019
project_5008,288,2/01/1970
project_5385,37,2/01/1970
project_6132,196,2/01/1970
project_17577,12,2/01/1970
project_7408,,2/01/1970
project_15734,167,1/01/2021
project_5500,566,30/04/2012
5e55f09db33a1500123c6a8d,434,1/01/2022
project_5591,170,2/01/1970
project_3822,34,31/12/2008
project_16941,911,31/03/2021
project_3205,329,1/01/2019
project_3003,315,1/01/2019
project_6586,120,1/01/2018
project_5341,279,2/01/1970
project_7948,125,31/12/2013
project_15568,247,1/01/2022
project_5143,119,2/01/1970
project_3349,10,30/04/2016
project_3381,127,31/07/2017
project_15797,56,1/01/2018
project_15777,313,2/01/1970
project_3043,57,31/05/2016
project_12188,57,2/01/1970
project_12380,201,2/01/1970
project_11982,53,2/01/1970
project_8338,193,2/01/1970
project_8602,427,31/12/2019
project_8666,58,31/12/2013
project_15882,122,2/01/1970
project_15067,515,31/12/2020
project_5616,210,31/12/1996
project_5130,134,2/01/1970
project_12022,65,2/01/1970
project_9291,84,2/01/1970
project_16618,201,2/01/1970
project_11975,137,2/01/1970
project_7282,,2/01/1970
project_4466,150,2/01/1970
project_3925,32,31/12/2014
project_3372,81,31/12/2019
project_12268,254,2/01/1970
project_2071,312,31/12/2014
project_11999,62,2/01/1970
project_4452,36,2/01/1970
project_6083,743,31/08/2015
project_17384,188,30/09/2021
project_4730,96,2/01/1970
project_7710,540,2/01/1970
project_7238,87,31/12/2012
project_4724,78,31/12/2010
project_17257,128,2/01/1970
project_13093,389,30/11/2019
project_16384,129,2/01/1970
617fc4d3f62011001350de55,155,
project_15611,343,2/01/1970
project_5250,416,31/12/2008
project_15612,53,2/01/1970
project_3941,201,31/12/2014
project_6395,112,2/01/1970
project_4053,54,31/12/1987
61497c70cd39f40018537b49,204,
project_5303,152,2/01/1970
project_4453,200,2/01/1970
project_5097,22,2/01/1970
project_7628,2,31/07/2017
project_4357,204,2/01/1970
609e250ae23fb00014597074,3,
project_12659,110,2/01/1970
project_2718,158,30/04/2018
project_7964,5,30/09/2017
project_12067,189,2/01/1970
project_17067,77,31/12/2020
project_7787,927,31/03/2016
project_6037,565,31/12/2015
project_17528,484,2/01/1970
project_4675,150,30/06/2008
project_2154,180,31/03/2012
project_2268,225,1/01/2017
5ec388ed84c1860019f32b58,8,
project_6257,216,1/01/2015
project_4422,300,2/01/1970
project_8331,61,30/06/2017
project_12723,262,2/01/1970
project_2028,184,31/12/2018
project_7199,322,2/01/1970
project_7462,92,2/01/1970
project_16565,145,2/01/1970
project_6004,281,31/12/1992
project_7947,154,31/12/2013
62737fb854ecb2001607573e,20,1/01/2004
project_15110,38,31/12/2012
project_2070,850,31/12/2017
project_8882,56,2/01/1970
project_5520,100,31/03/2017
project_8692,120,2/01/1970
5fa51862c7e774001943781b,125,
project_13015,52,31/12/2010
project_5165,39,2/01/1970
5e8196801990b500126d1d6b,1961,1/01/2024
project_15657,140,2/01/1970
project_17289,372,31/12/2020
project_16547,66,2/01/1970
project_17212,361,1/01/2021
project_13682,348,1/01/2021
project_11981,124,2/01/1970
project_12520,16,31/12/2000
project_11888,51,2/01/1970
project_17489,267,31/12/2016
project_2257,385,1/01/2021
project_16886,287,31/01/2021
project_15740,,31/12/1997
project_5532,27,2/01/1970
5e5e29b166a35400120af2a0,303,1/01/2021
project_5656,73,31/12/1995
project_16373,253,31/12/2008
project_7122,30,2/01/1970
project_2472,703,31/12/2014
project_9384,1517,2/01/1970
61401e1e64189600150944b3,246,
project_8704,32,31/03/2017
project_8531,14,2/01/1970
project_2762,97,30/04/2011
project_8810,39,2/01/1970
project_3321,226,31/05/2018
5ecb64d659e5460012c7b7f7,315,1/01/2019
project_16940,416,2/01/1970
60ed0841c757f20014f9d880,,1/01/2014
project_7988,213,1/01/2013
project_6182,45,2/01/1970
project_9099,18,2/01/1970
project_2093,3061,2/01/1970
project_5475,370,2/01/1970
project_16957,247,31/12/2018
project_16846,9,1/01/2020
project_17141,179,1/01/2022
5ede12d6dda791001299b05e,75,1/01/1996
5e7ae279944232001a5d4d70,710,1/01/2021
project_15573,30,31/12/2016
project_12035,344,2/01/1970
62452dabaae18f0013406c12,99,
project_4991,29,2/01/1970
project_3151,134,30/06/2016
project_8562,18,2/01/1970
project_5708,78,31/12/2005
project_7942,70,2/01/1970
project_15775,313,2/01/1970
project_15752,,2/01/1970
project_2889,77,31/05/2016
project_10811,65,2/01/1970
project_4177,266,2/01/1970
project_12499,285,2/01/1970
project_5929,,2/01/1970
project_5699,24,31/12/2006
project_2408,323,31/12/2016
project_4775,382,31/12/1994
project_2267,115,1/01/2017
project_9309,239,13/03/2008
project_3551,238,1/01/2019
6064388cca1e9b0013db1a59,21,
project_15647,81,2/01/1970
project_9720,106,2/01/1970
project_15798,153,2/01/1970
project_9333,400,2/01/1970
5ec38e1d84c1860019f32bb6,8,1/01/2019
project_15535,95,1/01/2018
project_5558,10,2/01/1970
project_17445,440,2/01/1970
project_9243,154,2/01/1970
project_5410,75,2/01/1970
611243b0675471001aaab48b,167,
project_4762,176,2/01/1970
project_4563,,2/01/1970
project_7994,37,31/12/2011
project_2507,277,31/12/2008
project_16851,499,30/09/2022
project_6221,155,2/01/1970
project_16571,,2/01/1970
project_12671,41,2/01/1970
project_12604,26,2/01/1970
project_7445,36,2/01/1970
project_7854,249,30/11/2014
project_2095,450,1/01/2014
project_12555,93,2/01/1970
project_6187,70,2/01/1970
project_16873,98,2/01/1970
project_15753,79,31/12/2008
project_16631,359,2/01/1970
project_17081,98,31/12/2019
project_11950,75,2/01/1970
5e954e309f161600121b55a4,20,1/01/2018
project_3803,135,31/12/1996
project_3145,180,30/09/2016
project_4984,250,2/01/1970
project_2943,48,31/12/2016
60517246003fef0014cb042e,,1/01/2021
project_5462,49,2/01/1970
project_2930,104,
project_17194,6,31/05/2019
project_3900,70,2/01/1970
project_2967,152,31/12/2014
project_12573,51,2/01/1970
project_8825,195,2/01/1970
project_8904,24,2/01/1970
project_6381,262,31/12/1984
5e8d42d29f161600121b4c12,86,1/01/2020
project_12177,21,2/01/1970
project_9043,266,2/01/1970
project_4425,119,31/12/1995
project_4938,269,2/01/1970
project_9259,36,2/01/1970
project_4410,50,2/01/1970
project_8242,108,2/01/1970
project_15183,488,1/01/2020
5f3e2f3c6320a60019751165,493,
project_7231,,2/01/1970
project_7092,76,15/07/2009
project_6753,446,31/12/2011
project_4618,300,2/01/1970
project_8675,179,2/01/1970
6268d2d054ecb20016075663,196,1/01/2013
project_12681,394,2/01/1970
project_6739,38,2/01/1970
project_4244,206,31/12/2010
project_4904,80,2/01/1970
project_2953,426,2/01/1970
project_3141,517,31/12/2012
623c4307c74d8800148716e1,124,
610bbfac9979b1001a414bb0,,
project_17330,5,30/04/2019
project_4951,,2/01/1970
project_5694,68,31/12/1992
project_8090,208,31/12/2013
60a78032636bb200158f2f27,64,1/01/2020
project_4209,1218,1/01/1995
project_5568,96,2/01/1970
project_9281,48,2/01/1970
project_4692,47,31/12/2013
project_7200,334,2/01/1970
project_5598,78,2/01/1970
project_4342,70,31/12/1998
project_5286,99,31/12/1998
project_12064,121,2/01/1970
project_4800,,2/01/1970
project_4280,40,2/01/1970
project_6248,60,31/12/2015
project_7375,176,2/01/1970
project_7217,,2/01/1970
project_5330,644,2/01/1970
project_13160,74,2/01/1970
project_2125,194,31/12/2016
605d8fb22fcbdb0013a4acac,59,1/01/2022
5e689adcc91cd300128950ba,256,
project_16424,103,31/12/1996
project_2661,580,31/12/2015
project_8255,152,31/12/2012
project_16719,115,31/12/2021
project_12296,13,2/01/1970
project_15857,88,2/01/2018
project_16360,235,31/12/1992
project_3477,137,31/12/2017
60d467899ad831001487e0b8,490,1/01/2022
project_4076,79,2/01/1970
project_2642,293,31/12/2017
5e79d26e944232001a5d4c6f,113,1/01/2021
project_8893,223,31/12/2014
project_5936,24,2/01/1970
project_5596,84,2/01/1970
project_12720,339,31/12/2010
project_8356,99,2/01/1970
project_4520,37,2/01/1970
project_2830,222,31/12/2014
project_5219,456,2/01/1970
project_14068,46,31/12/2018
project_8289,58,2/01/1970
60a393dae23fb0001459712c,77,1/01/2020
project_2550,428,30/11/2018
project_16592,195,2/01/1970
project_16753,23,2/01/1970
project_2730,175,31/12/2016
5ecccf74292ffd0019214a92,648,
project_7161,,2/01/1970
project_8224,592,2/01/1970
5ed4d63561c7140012c4d994,92,1/01/1995
project_6372,,2/01/1970
project_12048,11,2/01/1970
6155839987dd2300149d1cc8,,
project_7186,247,31/12/2012
5e7c32340b71920019aa93bd,253,1/01/2020
project_2272,140,31/12/2017
project_6209,69,31/12/1999
5e7c636c0b71920019aa9474,243,1/01/2021
project_6941,138,31/12/1994
project_15794,55,2/01/1970
5e8d6dba9f161600121b4ced,102,1/01/2021
project_4255,30,2/01/1970
project_12676,245,2/01/1970
project_8378,83,2/01/1970
5f0c2c0eb285eb00194dec35,112,
project_6195,168,2/01/1970
project_8524,104,2/01/1970
project_16261,1000,2/01/1970
5e953c219f161600121b5559,182,
5ed754d4bd8bcc001a5c032d,,1/01/2005
project_8590,36,2/01/1970
project_15410,415,1/01/2019
project_16410,,2/01/1970
project_6868,190,30/06/2011
5fa3ca66c7e77400194376cd,429,
project_4345,65,2/01/1970
project_16364,475,2/01/1970
project_3176,71,31/12/2014
project_2751,160,1/01/2020
project_2464,78,30/12/2017
project_9336,,10/09/2009
project_17328,164,1/01/2022
project_15917,621,2/01/1970
project_8239,156,2/01/1970
project_8642,44,2/01/1970
project_15904,157,1/12/1994
project_12300,375,2/01/1970
project_12377,141,31/10/2009
project_8621,89,2/01/1970
project_16294,9,2/01/1970
project_4803,657,30/09/2014
project_12450,222,31/12/2010
project_10079,154,2/01/1970
project_17133,347,1/01/2022
project_5417,168,31/12/2015
60e6a46b08c5ec0013c251e7,,
project_3137,156,1/01/2019
project_16698,117,1/01/2023
project_5954,,2/01/1970
project_8378,83,2/01/1970
project_12557,161,2/01/1970
project_15580,54,2/01/1970
project_12629,191,2/01/1970
project_3815,658,31/12/2013
project_15064,443,31/12/2021
project_5279,17,2/01/1970
project_6409,1370,31/12/2017
project_12271,548,2/01/1970
project_16205,166,1/01/2001
project_15111,472,1/01/2022
project_5866,1575,31/12/1995
project_15958,99,2/01/1970
project_5562,60,31/12/1997
project_7874,661,28/02/2018
project_5896,,2/01/1970
project_15695,75,31/12/2015
project_16887,121,31/12/2020
project_15000,4,31/12/2018
61512a740eb0a10013e261ac,,
project_8508,188,2/01/1970
project_15844,65,2/01/1970
project_2482,543,30/09/2016
project_12758,70,2/01/1970
project_3673,495,31/12/2016
5e8ee5049f161600121b4f94,22,1/01/2020
5ec25e7884c1860019f328ed,77,
project_3988,129,31/12/1994
5fab5d89ee0d7f0012409c23,201,1/01/2022
5fa4c711c7e7740019437709,355,1/01/2023
project_2764,1084,30/06/2018
60e441dba622350014cdd3b8,,
project_5546,105,2/01/1970
project_4362,840,2/01/1970
project_4144,51,31/12/1992
project_7163,315,31/12/2001
project_2501,180,31/12/2015
project_17440,277,2/01/1970
project_17054,1244,2/01/1970
project_6699,269,31/12/2010
project_7980,95,2/01/1970
project_17413,8,31/12/2019
project_12209,89,2/01/1970
project_2864,200,31/12/2016
project_15930,268,2/01/1970
project_2615,25,2/01/1970
project_12103,190,2/01/1970
61d6a65b25ee250014de3316,137,1/01/2022
61529d100eb0a10013e261ef,22,
project_3388,240,2/01/1970
project_2583,66,31/12/2014
project_2433,507,31/12/2018
project_2815,172,30/06/2016
project_12060,41,2/01/1970
project_4918,396,31/12/1994
5ee08d64dda791001299b2a6,,
5e68a331c91cd300128950e3,,
project_5098,110,31/12/2008
61fa191257a0db00146b84cf,34,
project_9297,,31/12/1993
project_17494,166,31/01/2022
project_8149,78,31/10/2011
5ed760f9bd8bcc001a5c037a,636,1/01/2021
project_4633,518,31/12/1995
project_3621,217,2/01/1970
project_8664,20,2/01/1970
project_9075,406,30/12/2016
project_9366,77,2/01/1970
project_8263,96,2/01/1970
project_2229,139,31/03/2017
project_4424,60,2/01/1970
project_7032,14,30/04/2017
project_3249,1232,30/09/2016
project_2241,434,31/08/2017
project_12101,275,31/12/2010
project_6375,116,31/12/2011
project_4880,68,2/01/1970
project_9063,20,2/01/1970
project_5954,,2/01/1970
project_3688,493,31/12/2017
project_15630,1700,2/01/1970
project_8558,12,2/01/1970
project_4946,194,31/12/1996
project_15373,265,1/01/2021
project_5651,252,31/12/1987
project_4967,113,31/12/1997
project_3230,238,2/01/1970
project_8797,205,2/01/1970
project_8572,142,1/01/2019
project_3270,186,30/06/2014
project_5555,300,2/01/1970
project_6304,149,12/10/2009
project_17406,495,2/01/1970
project_3132,158,31/12/2017
project_16374,119,31/12/2009
project_8279,30,31/12/2014
project_9115,244,31/12/2011
project_2535,169,1/01/2020
project_8570,192,2/01/1970
project_2915,108,31/03/2016
project_3307,147,2/01/1970
project_3082,134,30/06/2016
project_5082,268,1/01/2015
project_5240,,2/01/1970
project_8600,135,30/04/2016
project_2561,434,1/01/2018
project_4386,191,31/12/2014
project_13715,58,31/12/2019
project_4112,144,2/01/1970
project_8523,9,2/01/1970
project_4489,79,31/12/2008
project_8316,21,31/12/2017
project_7140,300,31/12/2010
624bd93e587c1b00149b716b,298,1/01/2024
project_9089,105,2/01/1970
project_16033,183,2/01/1970
project_17343,40,31/12/2018
project_4589,124,2/01/1970
project_5159,,31/12/2003
project_5745,50,13/12/2004
project_15288,190,31/12/2021
project_12252,127,2/01/1970
5ed5dc5061c7140012c4d9e4,470,1/01/2011
project_11949,329,2/01/1970
project_4401,40,2/01/1970
project_15881,71,2/01/1970
project_13599,1337,31/01/2020
project_8056,250,2/01/1970
project_15094,1216,31/12/1996
614d3dd5c4d52b0013a6fd37,270,1/01/2002
project_2288,86,31/12/2017
5ed767b8bd8bcc001a5c03a7,,1/01/1994
project_7716,104,2/01/1970
project_6160,,2/01/1970
5ebe4c4784c1860019f32410,340,1/01/2021
5f71b222f637f600123ecb43,56,
5e70569d944232001a5d4795,,
project_12664,10,2/01/1970
project_6235,75,2/01/1970
5ecf2926292ffd0019214e54,312,1/01/2021
project_3627,301,30/06/2018
project_7734,52,2/01/1970
project_2733,475,31/12/2018
project_8841,20,2/01/1970
project_17450,46,31/01/2019
project_8071,75,31/12/2017
project_3850,439,31/12/1992
project_12071,160,2/01/1970
project_8075,804,31/12/2012
project_2442,159,31/12/2018
project_4306,150,31/12/2012
project_3256,54,31/12/2016
5e5e09fc35e8160012b45559,421,1/01/2022
project_12019,20,2/01/1970
5ebe2bdf84c1860019f3235b,17,1/01/2018
project_12355,6,2/01/1970
project_16876,197,1/01/2019
project_17509,299,2/01/1970
project_5086,270,2/01/1970
project_12535,20,2/01/1970
project_4901,100,2/01/1970
5e9536199f161600121b554c,202,1/01/2019
project_17451,967,31/12/2017
project_8628,20,1/01/2018
project_5935,783,31/12/1997
project_12172,415,2/01/1970
project_6756,,2/01/1970
project_5746,60,31/12/1991
project_15924,1250,2/01/1970
project_15800,193,2/01/1970
project_16336,55,2/01/1970
project_4283,92,31/12/1997
project_12273,67,2/01/1970
project_3175,38,31/03/2013
project_5568,96,2/01/1970
project_3852,196,31/12/1996
project_8653,110,2/01/1970
project_5345,77,2/01/1970
project_12463,110,2/01/1970
project_13689,469,2/01/1970
project_12126,17,2/01/1970
61f2151025ee250014de37e9,10,1/01/2023
project_4116,100,2/01/1970
project_4028,120,31/12/2012
project_15737,640,31/12/1993
project_12307,40,2/01/1970
project_4409,60,2/01/1970
